Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
C7,3,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,72.42744446
D7,3,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,82.40817261
C8,4,BQCV,1.217,Amp,UNKNOWN,32.808,32.223,0.827,3.809,6.069,3.196,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,30,FALSE,79.0646286
D8,4,BQCV,1.264,Amp,UNKNOWN,31.639,32.223,0.827,8.329,6.069,3.196,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,28,FALSE,78.91491699
C9,5,BQCV,1.195,Amp,UNKNOWN,31.278,31.718,0.621,10.597,8.243,3.33,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,28,FALSE,79.26233673
D9,5,BQCV,1.242,Amp,UNKNOWN,32.157,31.718,0.621,5.889,8.243,3.33,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,29,FALSE,79.16251373
C3,6,BQCV,1.287,Amp,UNKNOWN,31.865,-,-,0,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,29,TRUE,78.75589752
D3,6,BQCV,1.295,Amp,UNKNOWN,32.288,32.288,-,5.394,5.394,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,29,FALSE,79.00559235
C10,7,BQCV,1.301,Amp,UNKNOWN,29.342,29.342,-,38.713,38.713,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,26,FALSE,78.61346436
D10,7,BQCV,0.526,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,34,TRUE,94.48596191
